4,3.0,28.21,0.29
4,4.0,19.55,0.21
5,0.0,24.13,0.31
5,1.0,25.81,0.31
5,2.0,21.49,0.27
5,3.0,24.74,0.35
5,4.0,27.38,0.25
6,0.0,24.22,0.37
6,1.0,15.72,0.35
6,2.0,25.66,0.33
6,3.0,23.09,0.36
6,4.0,21.9,0.28
7,0.0,21.15,0.4
7,1.0,21.82,0.38
7,2.0,22.27,0.36
7,3.0,15.44,0.37
7,4.0,13.66,0.33
8,0.0,17.95,0.4
8,1.0,18.58,0.39
8,2.0,9.86,0.38
8,3.0,18.78,0.38
8,4.0,19.88,0.38
9,0.0,2.53,0.47
9,1.0,11.48,0.4
9,2.0,17.2,0.39
9,3.0,1.76,0.42
9,4.0,13.23,0.4
10,0.0,8.38,0.49
10,1.0,9.53,0.4
10,2.0,5.6,0.42
10,3.0,4.58,0.45
10,4.0,9.41,0.43
11,0.0,6.81,0.5
11,1.0,8.0,0.41
11,2.0,7.77,0.46
11,3.0,7.34,0.47
11,4.0,7.58,0.46
12,0.0,6.97,0.54
12,1.0,8.14,0.43
12,2.0,7.46,0.5
12,3.0,7.37,0.5
12,4.0,7.57,0.49
1,0.0,26.85,0.07
1,1.0,58.0,0.06
1,2.0,21.7,0.07
1,3.0,13.5,0.12
1,4.0,28.55,0.05
2,0.0,29.79,0.12
2,1.0,30.24,0.11
2,2.0,29.81,0.14
2,3.0,28.28,0.22
2,4.0,30.48,0.1
3,0.0,26.26,0.17
3,1.0,30.67,0.15
3,2.0,29.69,0.19
3,3.0,26.83,0.29
3,4.0,31.1,0.15
4,0.0,29.68,0.23
4,1.0,23.38,0.2
4,2.0,28.81,0.27
4,3.0,21.26,0.34
4,4.0,30.33,0.2
5,0.0,27.22,0.28
5,1.0,28.28,0.24
5,2.0,26.04,0.32
5,3.0,23.52,0.4
5,4.0,28.39,0.25
6,0.0,27.28,0.34
6,1.0,24.08,0.28
6,2.0,15.56,0.41
6,3.0,22.82,0.4
6,4.0,9.26,0.3
7,0.0,15.18,0.35
7,1.0,21.77,0.34
7,2.0,14.49,0.45
7,3.0,6.06,0.44
7,4.0,21.36,0.36
8,0.0,16.73,0.36
8,1.0,17.01,0.37
8,2.0,14.24,0.48
8,3.0,14.44,0.46
8,4.0,11.79,0.4
9,0.0,11.44,0.36
9,1.0,12.66,0.4
9,2.0,13.1,0.5
9,3.0,13.59,0.49
9,4.0,15.31,0.41
10,0.0,14.91,0.39
10,1.0,9.9,0.41
10,2.0,11.65,0.51
10,3.0,11.87,0.5
10,4.0,13.74,0.43
11,0.0,13.71,0.4
11,1.0,13.18,0.43
11,2.0,11.02,0.52
11,3.0,11.26,0.53
11,4.0,12.9,0.45
12,0.0,13.86,0.41
12,1.0,13.17,0.49
12,2.0,11.27,0.52
12,3.0,10.92,0.54
12,4.0,12.84,0.48
1,0.0,27.0,0.11
1,1.0,58.8,0.08
1,2.0,17.45,0.09
1,3.0,17.85,0.06
1,4.0,27.6,0.08
2,0.0,28.84,0.19
2,1.0,29.86,0.14
2,2.0,29.6,0.16
2,3.0,30.5,0.13
2,4.0,29.9,0.14
3,0.0,28.26,0.22
3,1.0,30.02,0.2
3,2.0,29.54,0.21
3,3.0,30.57,0.17
3,4.0,30.3,0.18
4,0.0,24.31,0.28
4,1.0,29.54,0.27
4,2.0,26.16,0.26
4,3.0,30.71,0.24
4,4.0,24.83,0.22
5,0.0,26.27,0.31
5,1.0,26.63,0.27
5,2.0,26.74,0.32
5,3.0,27.54,0.27
5,4.0,28.37,0.26
6,0.0,19.29,0.33
6,1.0,22.79,0.31
6,2.0,20.51,0.39
6,3.0,20.2,0.35
6,4.0,22.12,0.31
7,0.0,16.34,0.39
7,1.0,21.74,0.35
7,2.0,19.46,0.41
7,3.0,15.16,0.38
7,4.0,15.85,0.37
8,0.0,17.36,0.41
8,1.0,8.34,0.37
8,2.0,16.86,0.43
8,3.0,17.63,0.4
8,4.0,18.12,0.43
9,0.0,10.27,0.42
9,1.0,16.71,0.39
9,2.0,6.37,0.47
9,3.0,11.23,0.44
9,4.0,15.12,0.44
10,0.0,12.18,0.44
10,1.0,0.29,0.43
10,2.0,11.17,0.5
10,3.0,11.84,0.47
10,4.0,11.77,0.45
11,0.0,9.79,0.45
11,1.0,10.0,0.44
11,2.0,8.69,0.53
11,3.0,9.24,0.52
11,4.0,9.52,0.47
12,0.0,10.06,0.47
12,1.0,10.22,0.45
12,2.0,8.52,0.58
12,3.0,8.74,0.57
12,4.0,9.71,0.48
1,0.0,28.7,0.07
1,1.0,59.25,0.08
1,2.0,21.95,0.1
1,3.0,18.2,0.09
1,4.0,23.45,0.11
2,0.0,31.02,0.15
2,1.0,30.66,0.15
2,2.0,30.03,0.15
2,3.0,30.14,0.16
2,4.0,29.7,0.17
3,0.0,30.52,0.19
3,1.0,30.62,0.22
3,2.0,30.53,0.21
3,3.0,30.04,0.2
3,4.0,24.99,0.28
4,0.0,24.13,0.24
4,1.0,29.39,0.28
4,2.0,29.7,0.28
4,3.0,30.01,0.29
4,4.0,27.22,0.35
5,0.0,23.87,0.27
5,1.0,28.24,0.32
5,2.0,28.37,0.34
5,3.0,28.14,0.33
5,4.0,25.83,0.41
6,0.0,21.13,0.29
6,1.0,27.28,0.37
6,2.0,16.36,0.38
6,3.0,17.52,0.37
6,4.0,19.88,0.46
7,0.0,17.61,0.34
7,1.0,16.05,0.38
7,2.0,20.1,0.46
7,3.0,20.46,0.47
7,4.0,17.63,0.48
8,0.0,21.19,0.36
8,1.0,9.59,0.39
8,2.0,17.31,0.5
8,3.0,16.88,0.5
8,4.0,11.94,0.52
9,0.0,17.96,0.4
9,1.0,17.12,0.41
9,2.0,10.92,0.51
9,3.0,10.02,0.56
9,4.0,10.33,0.53
10,0.0,9.98,0.43
10,1.0,15.02,0.44
10,2.0,12.57,0.52
10,3.0,11.18,0.58
10,4.0,12.16,0.53
11,0.0,13.86,0.45
11,1.0,13.64,0.46
11,2.0,11.7,0.53
11,3.0,10.26,0.59
11,4.0,11.45,0.54
12,0.0,13.81,0.5
12,1.0,13.52,0.48
12,2.0,11.78,0.57
12,3.0,10.32,0.61
12,4.0,1.39,0.55
1,0.0,31.15,0.1
1,1.0,59.3,0.06
1,2.0,20.3,0.13
1,3.0,21.35,0.07
1,4.0,13.55,0.04
2,0.0,28.42,0.14
2,1.0,29.78,0.14
2,2.0,27.65,0.16
2,3.0,29.29,0.13
2,4.0,30.5,0.11
3,0.0,29.1,0.21
3,1.0,24.81,0.19
3,2.0,28.24,0.19
3,3.0,29.25,0.24
3,4.0,24.75,0.24
4,0.0,27.25,0.29
4,1.0,28.24,0.23
4,2.0,28.06,0.24
4,3.0,26.29,0.28
4,4.0,26.32,0.29
5,0.0,26.33,0.35
5,1.0,28.41,0.3
5,2.0,28.31,0.32
5,3.0,26.69,0.43
5,4.0,26.41,0.34
6,0.0,22.55,0.44
6,1.0,25.99,0.37
6,2.0,24.33,0.42
6,3.0,23.94,0.46
6,4.0,8.59,0.39
7,0.0,20.24,0.5
7,1.0,22.71,0.4
7,2.0,20.91,0.44
7,3.0,19.48,0.49
7,4.0,22.06,0.42
8,0.0,19.3,0.55
8,1.0,14.93,0.43
8,2.0,21.41,0.45
8,3.0,19.49,0.51
8,4.0,22.16,0.44
9,0.0,11.91,0.57
9,1.0,21.08,0.46
9,2.0,20.33,0.45
9,3.0,18.26,0.51
9,4.0,20.88,0.44
10,0.0,15.43,0.61
10,1.0,19.38,0.47
10,2.0,19.75,0.45
10,3.0,17.65,0.51
10,4.0,20.26,0.44
11,0.0,14.43,0.62
11,1.0,12.11,0.47
11,2.0,20.03,0.45
11,3.0,17.9,0.51
11,4.0,20.55,0.44
12,0.0,12.79,0.63
12,1.0,18.1,0.47
12,2.0,18.54,0.45
12,3.0,16.56,0.51
12,4.0,19.01,0.44
1,0.0,36.9,0.06
1,1.0,55.0,0.1
1,2.0,24.91,0.04
1,3.0,19.7,0.1
1,4.0,9.8,0.11
2,0.0,30.0,0.13
2,1.0,28.69,0.15
2,2.0,30.57,0.13
2,3.0,28.74,0.15
2,4.0,28.31,0.19
3,0.0,26.58,0.21
3,1.0,29.19,0.31
3,2.0,29.92,0.25
3,3.0,29.29,0.22
3,4.0,23.62,0.25
4,0.0,25.01,0.26
4,1.0,25.53,0.36
4,2.0,27.77,0.34
4,3.0,28.68,0.3
4,4.0,27.57,0.33
5,0.0,26.1,0.29
5,1.0,25.09,0.43
5,2.0,26.05,0.41
5,3.0,27.79,0.32
5,4.0,26.28,0.35
6,0.0,24.86,0.4
6,1.0,23.32,0.47
6,2.0,12.25,0.49
6,3.0,17.47,0.37
6,4.0,21.51,0.41
7,0.0,16.37,0.44
7,1.0,18.27,0.5
7,2.0,14.6,0.56
7,3.0,21.89,0.48
7,4.0,20.53,0.48
8,0.0,16.3,0.46
8,1.0,13.07,0.54
8,2.0,15.86,0.59
8,3.0,18.78,0.55
8,4.0,11.0,0.55
9,0.0,17.5,0.48
9,1.0,7.59,0.58
9,2.0,9.03,0.62
9,3.0,10.54,0.58
9,4.0,14.55,0.61
10,0.0,4.9,0.49
10,1.0,11.61,0.6
10,2.0,10.64,0.63
10,3.0,11.71,0.63
10,4.0,7.11,0.64
11,0.0,11.73,0.5
11,1.0,4.15,0.65
11,2.0,1.87,0.65
11,3.0,8.51,0.69
11,4.0,8.16,0.67
12,0.0,9.41,0.5
12,1.0,6.57,0.67
12,2.0,6.52,0.66
12,3.0,5.83,0.74
12,4.0,6.09,0.76
1,0.0,36.7,0.11
1,1.0,57.0,0.07
1,2.0,21.55,0.09
1,3.0,22.7,0.11
1,4.0,8.16,0.08
2,0.0,28.63,0.21
2,1.0,30.04,0.16
2,2.0,29.26,0.17
2,3.0,28.62,0.18
2,4.0,29.57,0.14
3,0.0,27.91,0.31
3,1.0,26.51,0.29
3,2.0,29.28,0.31
3,3.0,28.9,0.28
3,4.0,30.26,0.27
4,0.0,27.86,0.39
4,1.0,28.7,0.39
4,2.0,27.86,0.39
4,3.0,28.88,0.39
4,4.0,29.55,0.33
5,0.0,28.04,0.4
5,1.0,28.15,0.46
5,2.0,27.74,0.43
5,3.0,28.08,0.44
5,4.0,30.85,0.43
6,0.0,20.54,0.5
6,1.0,23.94,0.48
6,2.0,23.94,0.48
6,3.0,21.75,0.47
6,4.0,25.59,0.5
7,0.0,22.58,0.53
7,1.0,23.48,0.54
7,2.0,18.29,0.51
7,3.0,23.95,0.54
7,4.0,18.41,0.52
8,0.0,21.07,0.55
8,1.0,17.27,0.56
8,2.0,19.04,0.57
8,3.0,15.45,0.59
8,4.0,17.67,0.55
9,0.0,4.09,0.66
9,1.0,7.02,0.58
9,2.0,17.94,0.59
9,3.0,16.95,0.64
9,4.0,15.32,0.6
10,0.0,10.94,0.66
10,1.0,13.45,0.58
10,2.0,7.25,0.66
10,3.0,7.17,0.66
10,4.0,4.09,0.66
11,0.0,0.76,0.69
11,1.0,0.33,0.6
11,2.0,8.15,0.72
11,3.0,8.15,0.71
11,4.0,8.27,0.71
12,0.0,0.86,0.72
12,1.0,6.55,0.66
12,2.0,4.55,0.76
12,3.0,4.74,0.75
12,4.0,4.71,0.74
1,0.0,33.5,0.13
1,1.0,61.66,0.09
1,2.0,23.9,0.11
1,3.0,26.95,0.1
1,4.0,9.5,0.03
2,0.0,29.81,0.23
2,1.0,31.18,0.2
2,2.0,30.37,0.2
2,3.0,30.84,0.17
2,4.0,33.31,0.13
3,0.0,29.43,0.31
3,1.0,24.72,0.27
3,2.0,30.69,0.26
3,3.0,25.78,0.26
3,4.0,33.13,0.21
4,0.0,26.77,0.39
4,1.0,28.56,0.39
4,2.0,28.91,0.35
4,3.0,28.91,0.39
4,4.0,30.6,0.35
5,0.0,27.9,0.46
5,1.0,28.07,0.42
5,2.0,24.28,0.37
