node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
0,0.6588788538310233,6.6559875253647345,7,200,110,56
0,0.6407077664478271,7.925497138736053,6,250,110,53
0,0.7337123906204217,7.432193299756159,13,300,110,73
0,0.5887933498945949,9.11582430902057,13,350,110,54
0,0.6780739780068041,12.438576523198325,18,400,110,69
0,0.6527864045000421,31.352212826070804,14,450,110,65
0,0.7371485037308917,36.423740200066604,15,500,110,76
0,0.7337123906204217,43.33555779701034,13,550,110,69
0,0.6724748448245124,58.27535252688406,12,600,110,64
0,0.7203898818321873,68.46150577612158,14,650,110,67
0,0.6630685512473486,89.53096366860261,16,700,110,63
0,0.6984886554222364,89.46157219910012,13,750,110,72
0,0.6562241745238357,113.74706150739917,13,800,110,73
