node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
1,0.49667770431528335,13.603110742163304,6,200,150,54
1,0.5868817764045422,17.67709932067892,6,250,150,67
1,0.44023814587511123,33.73547002377462,6,300,150,49
1,0.5239047714304766,40.42736649658187,6,350,150,60
1,0.6276202654994949,37.002425349577074,6,400,150,78
1,0.5128313091614638,65.51705701757454,6,450,150,53
1,0.49403557437305934,77.25705548964591,6,500,150,57
1,0.36965617847611665,113.80975596980903,6,550,150,41
1,0.45349595914882146,100.48498178303387,6,600,150,49
1,0.5020040160804508,106.82601741678633,6,650,150,62
1,0.5527864045000421,108.93928545436346,6,700,150,64
1,0.6880170944853976,94.21742564553317,6,750,150,85
1,0.36543978483782436,184.34088767081826,6,800,150,50
