node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
0,0.48477718853437257,14.667909690975279,5,200,103.50921437293431,37
0,0.3603978509331688,25.281679332969038,6,250,110,33
0,0.4184659784829282,35.04762499646363,6,300,110,33
0,0.5822136257063253,35.47610195883763,6,350,110,51
0,0.41534781124314457,57.00940718150621,6,400,110,36
0,0.44732057623379406,70.29618730531767,6,450,110,37
0,0.5119612534011073,74.51993582427916,6,500,110,43
0,0.5887933498945949,74.2441297965282,6,550,110,47
0,0.6642511761341929,70.9539475579006,6,600,110,59
0,0.5609928557218314,94.17221494768015,6,650,110,51
0,0.6234124513234913,96.8830508036146,6,700,110,58
0,0.48654468194752953,143.69943441631065,6,750,110,41
0,0.5101020514433644,142.31623815552766,6,800,110,42
