node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
4,0.054836874749478404,25.544584001988643,1,200,10.998029062882777,2
4,0.2765821861929766,28.594677518063886,5,250,53.982630318732674,14
4,0.4900980486407215,30.730536331450743,5,300,56.00300323152015,26
4,0.6170291568974648,32.51976012893449,6,350,60,28
4,0.6348516283298893,36.916672220746385,6,400,60,31
4,0.6584349744680134,43.44420649519086,6,450,60,32
4,0.4900980486407215,80.31498599453403,6,500,60,21
4,0.7,55.159507530906154,6,550,60,33
4,0.503344519141622,90.71395327416167,6,600,60,27
4,0.591751709536137,90.16303138836558,6,650,60,27
4,0.6348516283298893,88.94855410219733,6,700,60,31
4,0.591751709536137,114.25541109126809,6,750,60,26
4,0.467709352577623,154.6313936804848,6,800,60,25
