node_id,rate,budget_save,user_num,budget,ep_utility,ac_utility
6,0.41879435653118435,31.85000000000002,28,200,424.8524540357856,161
6,0.48872707875343135,30.409999999999954,41,250,479.5.3128004903178,222.5
6,0.6106415533213643,32.92000000000007,51,300,493.6725040486707,287
6,0.6255670954630189,21.46999999999992,60,350,499.5535644157204,293.5
6,0.6901613323034066,29.71999999999991,68,400,500,320
6,0.6844053232388101,48.47999999999998,68,450,498.4585418377886,324.5
6,0.7125978427360018,62.1799999999999,73,500,498.3470508302024,344
6,0.7182199439278926,75.51999999999998,77,550,499.8053230173275,347
6,0.6844053232388101,89.17999999999998,80,600,500,347
6,0.7331667187174733,107.67000000000021,80,650,500,360
6,0.7342933948882715,136.4300000000001,80,700,499.7915681216243,363
6,0.7518065270801828,155.9700000000002,86,750,499.5976499184302,377
6,0.7013363095386385,173.7200000000001,82,800,500,350
