node_id,t,budget,K,ep_utility,ac_utility
4,1,2400,5,53.50800000000002,16
4,2,2400,5,56.06314769377327,21
4,3,2400,5,56.08789403097571,26
4,4,2400,5,56.06314769377327,30
4,5,2400,5,56.02929864348136,34
4,6,2400,5,55.99417754249162,34
4,7,2400,5,55.95994316633662,34
4,8,2400,5,55.927233211222465,34
4,9,2400,5,55.89618788210575,34
4,10,2400,5,55.86677004377177,35
4,11,2400,5,55.83888030413069,35
4,12,2400,5,45.84033483811129,29
4,1,2400,6,60,15
4,2,2400,6,60,24
4,3,2400,6,60,29
4,4,2400,6,60,33
4,5,2400,6,60,35
4,6,2400,6,60,36
4,7,2400,6,60,37
4,8,2400,6,60,38
4,9,2400,6,45.73015656842147,28
4,10,2400,6,0,0
4,11,2400,6,0,0
4,12,2400,6,0,0
4,1,2400,7,60,15
4,2,2400,7,60,21
4,3,2400,7,60,28
4,4,2400,7,60,35
4,5,2400,7,60,38
4,6,2400,7,60,41
4,7,2400,7,60,42
4,8,2400,7,60,42
4,9,2400,7,60,42
4,10,2400,7,10.329128340628634,6
4,11,2400,7,0,0
4,12,2400,7,0,0
4,1,2400,8,60,21
4,2,2400,8,60,34
4,3,2400,8,60,40
4,4,2400,8,60,43
4,5,2400,8,60,44
4,6,2400,8,60,46
4,7,2400,8,60,44
4,8,2400,8,0,0
4,9,2400,8,0,0
4,10,2400,8,0,0
4,11,2400,8,0,0
4,12,2400,8,0,0
4,1,2400,9,60,19
4,2,2400,9,60,28
4,3,2400,9,60,35
4,4,2400,9,60,43
4,5,2400,9,60,47
4,6,2400,9,60,48
4,7,2400,9,60,45
4,8,2400,9,0,0
4,9,2400,9,0,0
4,10,2400,9,0,0
4,11,2400,9,0,0
4,12,2400,9,0,0
4,1,2400,10,60,27
4,2,2400,10,60,38
4,3,2400,10,60,43
4,4,2400,10,60,46
4,5,2400,10,60,47
4,6,2400,10,60,43
4,7,2400,10,0,0
4,8,2400,10,0,0
4,9,2400,10,0,0
4,10,2400,10,0,0
4,11,2400,10,0,0
4,12,2400,10,0,0
4,1,2400,11,60,23
4,2,2400,11,60,38
4,3,2400,11,60,44
4,4,2400,11,60,48
4,5,2400,11,60,51
4,6,2400,11,18.492725847497205,11
4,7,2400,11,10.344657194389434,6
4,8,2400,11,0,0
4,9,2400,11,0,0
4,10,2400,11,0,0
4,11,2400,11,0,0
4,12,2400,11,0,0
4,1,2400,12,60,27
4,2,2400,12,60,41
4,3,2400,12,60,47
4,4,2400,12,60,51
4,5,2400,12,60,49
4,6,2400,12,0,0
4,7,2400,12,0,0
4,8,2400,12,0,0
4,9,2400,12,0,0
4,10,2400,12,0,0
4,11,2400,12,0,0
4,12,2400,12,0,0
4,1,2400,13,60,17
4,2,2400,13,60,41
