node_id,t,budget,K,ep_utility,ac_utility
0,1,2400,5,82.41199999999999,43
1,1,2400,5,117.9899999999999,61
2,1,2400,5,74.682,35
3,1,2400,5,72.36000000000001,35
4,1,2400,5,52.943999999999996,27
0,2,2400,5,82.41199999999999,36
1,2,2400,5,117.9899999999999,62
2,2,2400,5,74.682,36
3,2,2400,5,72.36000000000001,36
4,2,2400,5,52.943999999999996,26
0,3,2400,5,82.41199999999999,42
1,3,2400,5,117.9899999999999,59
2,3,2400,5,74.682,42
3,3,2400,5,72.36000000000001,36
4,3,2400,5,52.943999999999996,27
0,4,2400,5,82.41199999999999,42
1,4,2400,5,117.9899999999999,58
2,4,2400,5,74.682,40
3,4,2400,5,72.36000000000001,39
4,4,2400,5,52.943999999999996,30
0,5,2400,5,82.41199999999999,39
1,5,2400,5,117.9899999999999,59
2,5,2400,5,74.682,37
3,5,2400,5,72.36000000000001,38
4,5,2400,5,52.943999999999996,22
0,6,2400,5,82.41199999999999,44
1,6,2400,5,117.9899999999999,66
2,6,2400,5,74.682,41
3,6,2400,5,72.36000000000001,39
4,6,2400,5,52.943999999999996,32
0,7,2400,5,82.41199999999999,44
1,7,2400,5,117.9899999999999,71
2,7,2400,5,74.682,36
3,7,2400,5,72.36000000000001,35
4,7,2400,5,52.943999999999996,25
0,8,2400,5,82.41199999999999,43
1,8,2400,5,117.9899999999999,61
2,8,2400,5,74.682,37
3,8,2400,5,72.36000000000001,33
4,8,2400,5,52.943999999999996,28
0,9,2400,5,82.41199999999999,34
1,9,2400,5,117.9899999999999,54
2,9,2400,5,74.682,40
3,9,2400,5,72.36000000000001,35
4,9,2400,5,52.943999999999996,30
0,10,2400,5,82.41199999999999,45
1,10,2400,5,117.9899999999999,66
2,10,2400,5,74.682,35
3,10,2400,5,72.36000000000001,33
4,10,2400,5,52.943999999999996,20
0,11,2400,5,82.41199999999999,38
1,11,2400,5,117.9899999999999,56
2,11,2400,5,74.682,36
3,11,2400,5,72.36000000000001,39
4,11,2400,5,52.943999999999996,28
0,12,2400,5,82.41199999999999,43
1,12,2400,5,117.9899999999999,53
2,12,2400,5,74.682,34
3,12,2400,5,72.36000000000001,38
4,12,2400,5,0,0
0,1,2400,6,101.77200000000003,57
1,1,2400,6,141.51000000000002,74
2,1,2400,6,88.36200000000002,46
3,1,2400,6,81.77400000000002,43
4,1,2400,6,58.84799999999998,30
0,2,2400,6,101.77200000000003,55
1,2,2400,6,141.51000000000002,63
2,2,2400,6,88.36200000000002,43
3,2,2400,6,81.77400000000002,42
4,2,2400,6,58.84799999999998,28
0,3,2400,6,101.77200000000003,42
1,3,2400,6,141.51000000000002,66
2,3,2400,6,88.36200000000002,36
3,3,2400,6,81.77400000000002,42
4,3,2400,6,58.84799999999998,35
0,4,2400,6,101.77200000000003,50
1,4,2400,6,141.51000000000002,72
2,4,2400,6,88.36200000000002,49
3,4,2400,6,81.77400000000002,34
4,4,2400,6,58.84799999999998,27
0,5,2400,6,101.77200000000003,54
1,5,2400,6,141.51000000000002,71
2,5,2400,6,88.36200000000002,40
3,5,2400,6,81.77400000000002,42
4,5,2400,6,58.84799999999998,30
0,6,2400,6,101.77200000000003,53
1,6,2400,6,141.51000000000002,77
2,6,2400,6,88.36200000000002,42
3,6,2400,6,81.77400000000002,36
4,6,2400,6,58.84799999999998,31
0,7,2400,6,101.77200000000003,48
1,7,2400,6,141.51000000000002,78
2,7,2400,6,88.36200000000002,46
3,7,2400,6,81.77400000000002,34
4,7,2400,6,58.84799999999998,31
0,8,2400,6,101.77200000000003,46
1,8,2400,6,141.51000000000002,69
2,8,2400,6,88.36200000000002,44
3,8,2400,6,81.77400000000002,39
4,8,2400,6,58.84799999999998,30
0,9,2400,6,101.77200000000003,52
1,9,2400,6,141.51000000000002,69
2,9,2400,6,88.36200000000002,45
3,9,2400,6,81.77400000000002,42
4,9,2400,6,58.84799999999998,29
0,10,2400,6,101.77200000000003,54
1,10,2400,6,141.51000000000002,70
2,10,2400,6,88.36200000000002,42
3,10,2400,6,81.77400000000002,40
4,10,2400,6,15.887999999999998,9
0,11,2400,6,101.77200000000003,61
1,11,2400,6,141.51000000000002,62
2,11,2400,6,88.36200000000002,41
3,11,2400,6,81.77400000000002,33
4,11,2400,6,0,0
0,12,2400,6,101.77200000000003,55
1,12,2400,6,141.51000000000002,65
2,12,2400,6,88.36200000000002,43
3,12,2400,6,81.77400000000002,43
4,12,2400,6,0,0
0,1,2400,7,110,52
1,1,2400,7,150,77
2,1,2400,7,90,46
3,1,2400,7,90,44
4,1,2400,7,60,34
0,2,2400,7,110,54
1,2,2400,7,150,84
2,2,2400,7,90,48
3,2,2400,7,90,51
4,2,2400,7,60,34
0,3,2400,7,110,58
1,3,2400,7,150,86
2,3,2400,7,90,48
3,3,2400,7,90,46
4,3,2400,7,60,35
0,4,2400,7,110,49
1,4,2400,7,150,91
2,4,2400,7,90,47
3,4,2400,7,90,48
4,4,2400,7,60,37
0,5,2400,7,110,49
1,5,2400,7,150,76
2,5,2400,7,90,51
3,5,2400,7,90,41
4,5,2400,7,60,38
0,6,2400,7,110,55
1,6,2400,7,150,83
2,6,2400,7,90,45
3,6,2400,7,90,42
4,6,2400,7,60,30
0,7,2400,7,110,60
1,7,2400,7,150,76
2,7,2400,7,90,51
3,7,2400,7,90,38
4,7,2400,7,60,33
0,8,2400,7,110,51
1,8,2400,7,150,84
2,8,2400,7,90,45
3,8,2400,7,90,42
4,8,2400,7,60,30
0,9,2400,7,110,50
1,9,2400,7,150,79
2,9,2400,7,90,36
3,9,2400,7,90,47
4,9,2400,7,8.88,5
0,10,2400,7,110,57
1,10,2400,7,150,79
2,10,2400,7,90,47
3,10,2400,7,90,42
4,10,2400,7,0,0
0,11,2400,7,110,46
1,11,2400,7,150,81
2,11,2400,7,90,44
3,11,2400,7,90,48
4,11,2400,7,0,0
0,12,2400,7,110,54
1,12,2400,7,150,76
2,12,2400,7,90,45
3,12,2400,7,90,45
4,12,2400,7,0,0
0,1,2400,8,110,58
1,1,2400,8,150,79
2,1,2400,8,90,45
3,1,2400,8,90,57
4,1,2400,8,60,42
0,2,2400,8,110,64
1,2,2400,8,150,84
2,2,2400,8,90,55
3,2,2400,8,90,47
4,2,2400,8,60,36
0,3,2400,8,110,60
1,3,2400,8,150,85
2,3,2400,8,90,60
3,3,2400,8,90,50
4,3,2400,8,60,35
0,4,2400,8,110,63
1,4,2400,8,150,78
2,4,2400,8,90,52
3,4,2400,8,90,52
4,4,2400,8,60,38
0,5,2400,8,110,65
1,5,2400,8,150,82
2,5,2400,8,90,48
3,5,2400,8,90,53
4,5,2400,8,60,36
0,6,2400,8,110,63
1,6,2400,8,150,80
2,6,2400,8,90,57
3,6,2400,8,90,52
4,6,2400,8,59.97599999999999,32
0,7,2400,8,110,62
1,7,2400,8,150,83
2,7,2400,8,90,56
3,7,2400,8,90,44
4,7,2400,8,0,0
0,8,2400,8,110,62
1,8,2400,8,150,86
2,8,2400,8,90,51
3,8,2400,8,90,51
4,8,2400,8,0,0
0,9,2400,8,110,53
1,9,2400,8,150,84
2,9,2400,8,90,53
3,9,2400,8,90,47
4,9,2400,8,0,0
0,10,2400,8,110,59
1,10,2400,8,150,90
2,10,2400,8,90,49
3,10,2400,8,90,52
4,10,2400,8,0,0
